"Pay in deferred or multiple monthly payments with your credit card.","Betaal later of in meerdere maandelijkse termijnen met uw creditcard."
"Eligible for monthly payments","Aankoop geschikt voor gespreid betalen"
"Not eligible for monthly payments","Aankoop niet geschikt voor gespreid betalen"
"Your order has been processed correctly but there was an error restoring your user session. You will find your order in your account.","Uw bestelling is verwerkt, maar door een fout kan uw gebruikerssessie niet hersteld worden. U vindt uw bestelling in uw account."
"Customer Return URL","retour-URL klant"
"<b>Advanced.</b> Overrides the <code>return_url</code> value of created payments","<b>Expert</b>. Overschrijft de waarde <code>return_url</code> van aangemaakte betalingen"
"IPN Callback URL","Url van oproep van IPN"
"<b>Advanced.</b> Overrides the <code>ipn_callback_url</code> value of created payments","<b>Expert</b>. Overschrijft de waarde <code>ipn_callback_url</code> van aangemaakte betalingen"
"Customer Cancel URL","Url annulering klant"
"<b>Advanced.</b> Overrides the <code>customer_cancel_url</code> value of created payments","<b>Expert</b>. Overschrijft de waarde <code>customer_cancel_url</code> van aangemaakte betalingen"
"<div class=""alma-payment-logo""></div><div class=""alma-payment-text"">Offer installments payments with Alma and instantly boost your sales.<br>Increase average order value by 60% and your sales by 20%.<br>With no subscription fees and no commitment, it’s risk free: you are paid upfront while your customers pay later.</div>","<div class=""alma-payment-logo""></div><div class=""alma-payment-text"">Met Alma biedt u eenvoudig gespreid betalen in 3 of 4 keer<br>Geef uw resultaten een boost van 20% en uw gemiddelde winkelwagen van 60%.<br>Zonder abonnement, zonder verplichting en zonder risico: uw klanten betalen later, u ontvangt meteen.</div>"
"<p>Some products (gift cards, license keys, software, weapons, ...) cannot be sold with Alma, <a href=""https://getalma.eu/legal/terms/payment"" target=""_blank"">as per our terms</a> (see Exclusions paragraph).</p><p>If you are selling such products on your shop, you need to configure Alma so that it is not enabled when customers view or shop them.</p>","<p>Bepaalde producten (geschenkbonnen, licentiesleutels, software, wapens, ...) kunnen niet worden gekocht met Alma, zoals vermeld in <a href=""https://getalma.eu/legal/terms/payment"" target=""_blank"">onze verkoopvoorwaarden</a> (zie paragraaf Uitsluitingen).</p><p>Als u dergelijke producten verkoopt, moet u de Alma module zodanig configureren dat deze gedeactiveerd wordt wanneer klanten ze bekijken of kopen. </p>"
"Products exclusions","Uitsluiting van producten"
"Other configuration settings will be made available after you provide valid API keys.","Er zijn andere configuratie-opties beschikbaar als de API-sleutels correct zijn geconfigureerd."
"Today","Vandaag"
"Pay in %1 installments","Betalen in %d keer"
"In %1 days","In %1 days"
"%1 installments","In %1 keer"
"Including fees: %1","Kosten: %1"
"Payment plans","Termijnen"
"Fees applied to each transaction for this plan:","Toegepaste kosten voor elke transactie:"
"You pay:","U betaalt:"
"Customers pay:","Uw klanten betalen:"
"no fees","geen kosten"
"Minimum amount (€)","Minimum bedrag (€)"
"Minimum purchase amount for which this payment plan will be enabled","Minimum aankoopbedrag waarvoor dit schema wordt aangeboden:"
"Maximum amount (€)","Maximum bedrag (€)"
"Maximum purchase amount for which this payment plan will be enabled","Maximum aankoopbedrag waarvoor dit schema wordt aangeboden:"
"Pay later - <%= deferredType %>+<%= deferredDuration %>","Uitgestelde betaling: <%= deferredType %>+<%= deferredDuration %>"
"Pay in <%= installmentsCount %> installments","Betaling in <%= installmentsCount %> keer"
"You can offer <%= installmentsCount %>-installment payments for amounts between <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> and <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>.","U kunt betaling in  <%= installmentsCount %> keer aanbieden voor bedragen tussen <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> en <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>."
"You can offer Pay Later payments at <%= deferredType %>+<%= deferredDuration %> for amounts between <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> and <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>.","U kunt betaling binnen  <%= deferredType %>+<%= deferredDuration %> aanbieden voor bedragen tussen <b><%= almaPriceFromCents(minAllowedAmount) %>€</b> en <b><%= almaPriceFromCents(maxAllowedAmount) %>€</b>."
"<%= almaPriceFromCents(variable) %>%","<%= almaPriceFromCents(variable) %>%"
"<%= almaPriceFromCents(fixed) %>€","<%= almaPriceFromCents(fixed) %>€"
"Product page display","Configuratie van de weergave van de productpagina's"
"A badge can be displayed on product pages to indicate eligible payments plans","Er kan een badge worden getoond op productpagina's om aan te geven welke termijnen in aanmerking komen"
"Activate Alma badge on product pages.","Activeer de Alma-badge op de productpagina's"
"Update with qty","Bijwerken met aantal"
"Dynamicaly updates the badge's price when product quantity is changed.","Dynamische bijwerking van de Alma-badge wanneer het gekozen aantal verandert"
"Badge position","Positie van de badge"
"Indicates where the badge should appear in product pages.","Bepaalt de positie van de badge op de productpagina's"
"HTML container","HTML-container"
"CSS selector for the custom badge container. (ex: #maincontent or .field.qty)","CSS-selector van de HTML-container waar de badge ingevoegd wordt (bijv. #maincontent of .field.qty)"
"Position in the HTML container","Positie in de HTML-container"
"Begin","Begin"
"End","Einde"
"After Product Title","Na de productnaam"
"Before Product Price","Voor de productprijs"
"Before Product Stock","Voor de voorraad van het product"
"After Product Stock","Na de voorraad van het product"
"After Product Information","Na de productinformatie"
"Before Product AddToCart Button","Voor de knop toevoegen aan winkelmand"
"After Product AddToCart Button","Na de knop toevoegen aan winkelmand"
"After AddTo links","Na de links voor toevoegen aan wensenlijst en toevoegen aan vergelijker"
"Inside a custom HTML container","Binnen een aangepaste HTML-container"
"Your cart total :","Uw winkelmand:"
"Credit cost :","Kredietkosten:"
"Annual interest rate : ","Jaarlijks rentepercentage:"
"Total : ","Totaal:"
"Customers lending rate: ","Kredietrente voor klanten:"
